Tid (s)	Avstand (cm)
1	20,1
2	20,8
3	20,1
4	20,3
5	18,9
6	0
7	20,5
8	21,3
9	21,5
10	21,1
11	21
12	19,8
13	20,9
14	165,3
15	20,8
16	21,2
17	20
18	19,8
19	20,3
20	19,8
21	20,9
22	19,9
23	0
24	21
25	20,6
26	176,5
27	20
28	20,6
29	19,9
30	21,2
31	20
32	19,7
33	20,9
34	20,4
35	20,7
36	20,5
37	21,1
38	20,2
39	20,6
40	21,6
41	20,7
42	21,4
43	20,4
44	20,2
45	21,9
46	21,1
47	21,9
48	21,5
49	21
50	22
51	0
52	20,6
53	21,2
54	21,2
55	20,8
56	20,7
57	22
58	20,9
59	21,1
60	21,5
61	20,4
62	20,2
63	21,2
64	21,1
65	20,8
66	20,4
67	22,1
68	21,1
69	21,4
70	21,3
71	20,8
72	22,3
73	21,3
74	0
75	21,1
76	21,9
77	21,7
78	22,3
79	20,8
80	21,7
81	22,4
82	20,8
83	21,9
84	22,6
85	22,4
86	22,4
87	22
88	22,1
89	21,9
90	21,8
91	21,6
92	22,1
93	21,9
94	21,6
95	22,2
96	22,2
97	22,9
98	22,5
99	21,5
100	22,1(B2+B101)/100